2024-10-07 21:50:03,366 [Worker-21] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of maven_proyecto
2024-10-07 21:50:03,367 [Worker-21] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for maven_proyecto
2024-10-07 21:50:03,371 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:50:50,303 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.ecodeup.mave:maven_proyecto:0.0.1-SNAPSHOT @ C:\Users\User\Desktop\PracticaMaven2\maven_proyecto\pom.xml.
2024-10-07 21:50:51,168 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:50:51,170 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-07 21:50:51,172 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:50:51,173 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\User\Desktop\PracticaMaven2\maven_proyecto\src\test\resources
2024-10-07 21:50:51,179 [Worker-6] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of maven_proyecto
2024-10-07 21:50:51,179 [Worker-6] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for maven_proyecto
2024-10-07 21:50:51,184 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:50:52,492 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:50:52,493 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-07 21:50:52,495 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:50:52,496 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\User\Desktop\PracticaMaven2\maven_proyecto\src\test\resources
2024-10-07 21:52:44,469 [Worker-17] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.ecodeup.mave:maven_proyecto:0.0.1-SNAPSHOT @ C:\Users\User\Desktop\PracticaMaven2\maven_proyecto\pom.xml.
2024-10-07 21:52:44,999 [Worker-17] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/smartnews/maven-jpa-entity-generator-plugin/2.7.1/maven-jpa-entity-generator-plugin-2.7.1.pom
2024-10-07 21:52:45,002 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.smartnews:maven-jpa-entity-generator-plugin:jar:2.7.1 is missing, no dependency information available
2024-10-07 21:52:45,144 [Worker-17] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/smartnews/maven-jpa-entity-generator-plugin/2.7.1/maven-jpa-entity-generator-plugin-2.7.1.jar
2024-10-07 21:52:45,177 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.smartnews:maven-jpa-entity-generator-plugin:jar:2.7.1 is missing, no dependency information available
2024-10-07 21:52:45,769 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:52:45,771 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-07 21:52:45,772 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:52:45,773 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\User\Desktop\PracticaMaven2\maven_proyecto\src\test\resources
2024-10-07 21:52:45,774 [Worker-17] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of maven_proyecto
2024-10-07 21:52:45,774 [Worker-17] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for maven_proyecto
2024-10-07 21:52:45,777 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:52:46,863 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.smartnews:maven-jpa-entity-generator-plugin:jar:2.7.1 is missing, no dependency information available
2024-10-07 21:52:46,876 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:52:46,879 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-07 21:52:46,880 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:52:46,881 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\User\Desktop\PracticaMaven2\maven_proyecto\src\test\resources
2024-10-07 21:53:22,825 [Worker-23] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.ecodeup.mave:maven_proyecto:0.0.1-SNAPSHOT @ C:\Users\User\Desktop\PracticaMaven2\maven_proyecto\pom.xml.
2024-10-07 21:53:23,933 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:53:23,935 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-07 21:53:23,936 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:53:23,937 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\User\Desktop\PracticaMaven2\maven_proyecto\src\test\resources
2024-10-07 21:53:23,983 [Worker-23] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of maven_proyecto
2024-10-07 21:53:23,983 [Worker-23] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for maven_proyecto
2024-10-07 21:53:23,987 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:53:25,581 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:53:25,584 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-07 21:53:25,585 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:53:25,586 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\User\Desktop\PracticaMaven2\maven_proyecto\src\test\resources
2024-10-07 21:54:30,406 [Worker-21] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.ecodeup.mave:maven_proyecto:0.0.1-SNAPSHOT @ C:\Users\User\Desktop\PracticaMaven2\maven_proyecto\pom.xml.
2024-10-07 21:54:36,861 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-07 21:54:36,865 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-07 21:54:36,867 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
